epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9883,1.72924,2.68581,1.51008,0.40561,0.5975,0.39546,0.20165,1.34063,2.40729,2.4379,0.000412281,0.000412281,0.000412281
2,25.623,1.60474,1.88171,1.43569,0.17826,0.70614,0.29296,0.15466,1.50174,3.12195,2.50366,0.000812534,0.000812534,0.000812534
3,33.8529,1.56079,1.77933,1.43262,0.59145,0.66447,0.57424,0.32701,1.5888,4.96205,2.52668,0.00119629,0.00119629,0.00119629
4,42.2566,1.57722,1.70753,1.45366,0.66817,0.55974,0.64447,0.33546,2.02529,3.70638,2.89451,0.00117575,0.00117575,0.00117575
5,50.872,1.59613,1.64555,1.4499,0.67443,0.60737,0.68431,0.3822,1.77508,2.08263,2.55634,0.001151,0.001151,0.001151
6,59.3067,1.5499,1.53242,1.41743,0.51509,0.64911,0.57826,0.34364,1.92024,2.62343,2.71156,0.00112625,0.00112625,0.00112625
7,67.5283,1.55907,1.48739,1.42315,0.47611,0.7078,0.56944,0.33074,1.59169,2.27445,2.37302,0.0011015,0.0011015,0.0011015
8,75.8788,1.5208,1.39075,1.41056,0.48241,0.82895,0.62773,0.34008,1.48885,2.1663,2.23075,0.00107675,0.00107675,0.00107675
9,84.6246,1.50995,1.37662,1.38881,0.77038,0.606,0.72774,0.40494,1.48224,1.96337,2.23859,0.001052,0.001052,0.001052
10,93.5182,1.51009,1.37631,1.39884,0.71164,0.78616,0.78119,0.43732,1.40833,1.85564,2.19394,0.00102725,0.00102725,0.00102725
11,102.15,1.49264,1.32765,1.39011,0.56833,0.74371,0.69169,0.4048,1.43434,1.80308,2.30291,0.0010025,0.0010025,0.0010025
12,110.675,1.47943,1.27898,1.37643,0.68354,0.62925,0.71013,0.38921,1.93442,1.89685,2.65383,0.00097775,0.00097775,0.00097775
13,119.484,1.46183,1.23788,1.37155,0.63046,0.79858,0.81835,0.44944,1.5389,1.89727,2.24973,0.000953,0.000953,0.000953
